,id,age,cause,vus,country,kpp,yService,voenk,kategory,katZ,date
62,2386,29.0,отказ от военкомата,РЭБ,Казхстан,Петухово,,"Петрозаводск, Карелия",,,2022-09-26T21:01:01
63,2405,,отказ от военкомата,не служил,Казахстан,Караозек,,Краснодарский край,,,2022-09-26T23:00:22
64,2426,27.0,долг,не служил,Грузия,Верхний Ларс,,,,,2022-09-26T08:00:47
65,2433,30.0,отказ от военкомата,"механик-водитель, инженерные войска",Казахстан,Павловка,,Кемеровская область,А,,2022-09-27T09:47:34
66,2434,28.0,,"420, военная кафедра",Армения,Внуково,,,,,2022-09-27T09:49:05
67,2436,,долг,не служил,Казахстан,Мариинский,,,В,,2022-09-27T09:49:54
68,2436,24.0,отказ от военкомата,служил,Казахстан,Исилькуль,,,,,2022-09-25T09:49:54
69,2436,27.0,отказ от военкомата,СпН,Казахстан,Орск,,,А,,2022-09-27T09:49:54
70,2437,24.0,отказ от военкомата,служил,Грузия,Верхний Ларс,,,,1.0,2022-09-26T09:50:12
71,2439,28.0,отказ от военкомата,"100, стрелок, росгвардия",Казахстан,Мариинское,,Москва,,1.0,2022-09-27T10:30:45
72,2440,,отказ во въезде,,Эстония,,,,,,2022-09-27T10:31:01
73,2440,,отказ от военкомата,артиллерия,Киргизия,Шереметьево,2014-2015,,,1.0,2022-09-26T17:31:01
74,2441,,на велосипеде,,Казахстан,Озинки,,,,,2022-09-27T10:32:01
75,2441,32.0,отказ от военкомата,"инженер, офицер",Казахстан,Михайловка,,,,,2022-09-27T10:32:01
76,2449,26.0,отказ от военкомата,служил,Армения,Сочи,,,А1,,2022-09-27T11:50:06
77,2469,38.0,отказ от военкомата,офицер запаса,Турция,Внуково,,Смоленск,,,2022-09-27T12:55:10
78,2481,34.0,отказ от военкомата,"командир отделения стрелков, сержант",Грузия,Верхний Ларс,,,А,,2022-09-27T13:25:11
79,2494,31.0,отказ от военкомата,служил,Армения,Курумочи,,,,,2022-09-27T14:17:01
80,2496,30.0,отказ от военкомата,,Беларусь,Новосокольники,,,,,2022-09-27T00:20:06
81,2500,36.0,отказ от военкомата,"артиллерия, военная кафедра",Финляндия,Торфяновка,,,В,,2022-09-27T14:27:00
82,2502,35.0,отказ от военкомата,Военная кафедра,Казахстан,Бугристое,,,А,,2022-09-27T14:28:15
83,2505,31.0,,служил,Казахстан,Мариинский,,,,1.0,2022-09-27T14:31:18
84,2506,25.0,отказ от военкомата,"140, военная кафедра",Киргизия,Домодедово,,,,,2022-09-27T14:33:16
85,2530,29.0,отказ от военкомата,артиллерия,Казахстан,Озинки,,,,,2022-09-27T10:00:16
86,2520,36.0,отказ от военкомата,"военная кафедра, офицер",Таджикистан,Жуковский,,,,В,2022-09-27T14:45:16
87,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
88,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
89,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
90,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
91,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
92,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
93,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
94,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
95,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
96,2534,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T15:03:24
97,2540,20.0,отказ от военкомата,служил,Армения,Минеральные Воды,,,А1,,2022-09-27T15:13:05
98,2542,28.0,отказ от военклмата,водитель,Грузия,Верхний Ларс,,,А,,2022-09-27T02:40:05
99,2543,25.0,,механик спутниковой связи,Казахстан,Маштаково,,Ярославская область,А4,,2022-09-26T07:16:43
100,2546,39.0,отказ от военкомата,"без ВУС, военная кафедра, офицер",Турция,Пулково,,,,,2022-09-27T15:23:55
101,2559,23.0,отказ от военкомата,837,Казахстан,Пулково,,,б3,,2022-09-27T15:33:58
102,2561,28.0,отказ от военкомата,служил,ОАЭ,Внуково,2016-2017,,,1,2022-09-27T15:35:28
103,2563,,,служил,Казахстан,,,,А,,2022-09-26T15:38:13
104,2563,32.0,отказ от военкомата,водитель автомобилей,Азербайджан,Внуково,,,Б3,1,2022-09-26T15:38:13
105,2574,,отказ от военкомата,служил,Казахстан,Мариинский,,,А1,,2022-09-27T16:03:38
106,2583,28.0,отказ от военкомата,"командир отделения мостостроительных средств, военная кафедра",Казахстан,Сагарчин,,,А,2,2022-09-27T16:11:29
107,2608,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-27T16:35:08
108,2608,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-27T16:35:08
109,2608,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-27T16:35:08
110,2608,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-27T16:35:08
111,2608,,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-27T16:35:08
112,2613,19,без объяснения причин,не служил,Казахстан,Кольцово,,,,,2022-09-27T16:47:01
113,2616,35,отказ от военкомата,военная кафедра,Казахстан,Бугристое,,,А,,2022-09-27T16:55:09
114,2618,31,отказ от военкомата,659,Иран,Внуково,,Владимирская область,,1,2022-09-27T17:12:43
115,2621,,,служил,Турция,Домодедово,,,,,2022-09-27T17:16:02
116,2623,,отказ от военкомата,"472, военная кафедра",Армения,Внуково,,Ленинградская область,А,,2022-09-27T17:18:09
117,2630,26,отказ от военкомата,служил,Казахстан,Исилькуль,,Ульяновская область,,1,2022-09-27T17:27:36
118,2641,25,отказ от военкомата,военная кафедра,Казахстан,Веселоярск,,,,,2022-09-27T17:52:03
119,2665,38,долг,не служил,Иран,Шереметьево,,,В,,2022-09-27T21:20:09
120,2675,31,отказ от военкомата,военная кафедра,Таджикистан,Пулково,,Ленинградская область,,,2022-09-27T21:45:01
121,2677,39,отказ от военкомата,"без ВУС, военная кафедра, офицер",Турция,Пулково,,,,1,2022-09-27T21:49:39
122,2679,31,отказ от военкомата,служил,Киргизия,Красноярск,,Республика Хакасия,А,,2022-09-27T21:51:21
123,2682,27,отказ от военкомата,"военная кафедра, рядовой",Турция,Шереметьево,,,А2,,2022-09-27T21:55:08
124,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
125,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
126,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
127,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
128,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
129,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
130,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
131,2691,,отказ во въезде,,Польша,Мамоново,,,,,2022-09-27T22:07:01
132,2697,41,порванный паспорт,служил,Казахстан,,,,,,2022-09-25T22:15:01
133,2697,25,отказ от военкомата,электрик,Киргизия,Шереметьево,,Москва,А,,2022-09-27T22:15:01
134,2703,30,отказ от военкомата,"водитель, МЧС, спецучет",Мальдивская Республика,Шереметьево,,,,1,2022-09-27T22:23:01
135,2717,29,отказ от военкомата,служил,Грузия,Верхний Ларс,,,А,,2022-09-27T22:44:01
136,2722,24,,служил,Казахстан,Маштаково,,,,,2022-09-27T22:50:06
137,2736,27,отказ от военкомата,"морская пехота, дшб",Казахстан,Николаевка,,,,,2022-09-27T23:15:10
138,2737,25,отказ от военкомата,служил,Казахстан,Мариинский,,Челябинская область,,,2022-09-27T23:17:01
139,2738,35,,"служил, мобилизационное предписание",Таджикистан,Жуковский,,,,,2022-09-27T23:19:01
140,2744,33,,связист,Таджикистан,Жуковский,,,А,,2022-09-27T23:35:05
